frc_time	Pair	Uwind	Vwind	Tair	Qair	rain	swrad	cloud	SST
5.125	1008.099976	0.285472155	-0.8535254	27.89999962	76	0	0	0	29
5.166666508	1007.900024	0.348910421	-1.043197751	27.70000076	76	0	0	0.033333335	29
5.208333492	1007.900024	-0.103213519	-1.596667409	27.70000076	76	0	0	0.06666667	29
5.25	1008.099976	-1.135293245	-2.339040279	27.39999962	77	0	2.777777672	0.100000001	29
5.291666508	1008.299988	-1.178958297	-2.429003239	27.39999962	75	0	36.11111069	0.06666667	29
5.333333492	1008.599976	-1.047962904	-2.159114122	29	68	0	197.222229	0.033333335	29
5.375	1008.700012	-1.30995369	-2.698892593	30.60000038	64	0	419.444458	0	29
5.416666508	1009	-1.440949082	-2.968781948	31.20000076	62	0	569.444458	0.166666672	29
5.458333492	1008.700012	-4.2960186	0.184995607	31.20000076	65	0	325	0.333333343	29
5.5	1008.400024	-4.725851536	2.169406652	31.79999924	63	0	1019.444458	0.5	29
5.541666508	1008.099976	-4.89546299	0.210808948	31.60000038	61	0	941.666687	0.433333337	29
5.583333492	1007.400024	-5.195185184	0.223715618	31.70000076	60	0	958.333313	0.366666675	29
5.625	1007.200012	-4.725851536	2.169406652	31.60000038	59	0	888.888916	0.300000012	29
5.666666508	1006.900024	-4.634970188	2.127687454	31.79999924	61	0	719.444458	0.233333334	29
5.708333492	1007.099976	-3.817034006	1.75221312	31.5	61	0	516.666687	0.166666672	29
5.75	1007.099976	-3.544388771	1.627055049	30.60000038	64	0	250	0.100000001	29
5.791666508	1007.299988	-3.2946105	-1.181330204	29.89999962	68	0	77.77777863	0.13333334	29
5.833333492	1007.900024	-2.232311726	-2.004191637	29.39999962	67	0	8.333333015	0.166666672	29
5.875	1008.799988	-0.654976845	-1.349446297	28.89999962	70	0	0	0.200000003	29
5.916666508	1009.5	-1.26497674	-1.13570857	28.5	74	0	0	0.166666672	29
5.958333492	1010	-1.26497674	-1.13570857	28.89999962	74	0	0	0.13333334	29
6	1009.900024	-1.413797498	-1.269321322	28.70000076	76	0	0	0.100000001	29
6.041666508	1009.799988	-1.637028694	-1.46974051	28.5	77	0	0	0.06666667	29
6.083333492	1009	-1.413797498	-1.269321322	28.29999924	78	0	0	0.033333335	29
6.125	1008.700012	-0.960632682	-1.979187965	28	79	0	0	0	29
6.166666508	1008.400024	-1.860259891	-1.670159698	27.60000038	80	0	0	0	29
