Title=free-surface from YAEYAMA2 Test Case				
				
"Legend=(eta_rho, xi_rho) = (23.9666, 123.603)"				
ocean_time (seconds since 2000-01-01 00:00:00)	zeta (meter)			
563569216	0.103786
563572800	0.015982
563576384	0.065857
563580032	0.224548
563583616	0.460504
563587200	0.7212680
563590784	0.9561580
563594368	1.1062260
563598016	1.1509180
563601600	1.0940330
563605184	0.9587290
563608832	0.7882710
563612416	0.6409290
563616000	0.5667610
563619584	0.5943220
563623168	0.7072890
563626816	0.8749240
563630400	1.0645980
563633984	1.2272590
563637632	1.3200130
563641216	1.3098060
563644800	1.1853	
563648384	0.96553	
563651968	0.6960550
563655616	0.4316280
563659200	0.2318910
563662784	0.1330240
563666432	0.1459740
563670016	0.2636150
563673600	0.4597821
563677184	0.6921851
563680768	0.9094131
563684416	1.0722961
563688000	1.1515741
563691584	1.1331521
563695232	1.0353971
563698816	0.8973171
563702400	0.7618851
563705984	0.6729681
563709568	0.6482511
563713216	0.69909	
563716800	0.8125141
563720384	0.9636761
563724032	1.1102251
563727616	1.2166561
563731200	1.2391821
563734784	1.1592441
563738368	0.9874181
563742016	0.7580071
563745600	0.5199011
563749184	0.3148721
563752832	0.1871671
563756416	0.1624771
563760000	0.2423672
563763584	0.4017122
563767168	0.6140162
563770816	0.8297932
563774400	1.0076192
563777984	1.1060622
563781632	1.1070022
563785216	1.0159542
563788800	0.8632012
563792384	0.6930072
563795968	0.5565412
563799616	0.4845992
563803200	0.5067372
563806784	0.6006772
563810432	0.7534682
563814016	0.9347762
563817600	1.0825922
563821184	1.1684872
563824768	1.1555472
563828416	1.0379612
563832000	0.8469582
563835584	0.6197962
563839232	0.40867	
563842816	0.2544122
563846400	0.1943583
563849984	0.2464223
563853568	0.3941643
563857216	0.6174543
563860800	0.8555043
563864384	1.0640783
563868032	1.1914453
563871616	1.2016953
563875200	1.0966563
563878784	0.9144613
563882368	0.7088753
563886016	0.5370273
563889600	0.4310623
563893184	0.4160613
563896832	0.5019953
563900416	0.67661	
563904000	0.88463	
563907584	1.0746133
563911168	1.1934983
563914816	1.2155543
563918400	1.1176513
563921984	0.91597	
563925632	0.6666193
563929216	0.4303133
563932800	0.2560744
563936384	0.1866864
563939968	0.2424054
563943616	0.4138074
563947200	0.6593174
563950784	0.9254064
563954432	1.15314	
563958016	1.2734044
563961600	1.2574964
563965184	1.1159244
563968768	0.8818774
563972416	0.6156564
563976000	0.3783144
563979584	0.2317324
563983232	0.2174184
563986816	0.3337864
