Title=potential temperature from YAEYAMA2 Test Case

Legend=(s_rho, eta_rho, xi_rho) = (-0.966667, 23.9666, 123.603)
ocean_time (seconds since 2000-01-01 00:00:00)	temp (Celsius)
616226432.000000	21.954779
616230016.000000	21.246881
616233600.000000	21.081352
616237184.000000	21.249269
616240768.000000	21.425852
616244416.000000	21.732065
616248000.000000	22.026978
616251584.000000	22.052872
616255232.000000	22.103001
616258816.000000	22.243717
616262400.000000	22.450663
616265984.000000	22.503698
616269568.000000	22.319689
616273216.000000	21.541836
616276800.000000	21.309065
616280384.000000	21.389313
616284032.000000	21.470207
616287616.000000	21.481979
616291200.000000	21.903048
616294784.000000	22.347595
616298368.000000	22.357645
616302016.000000	22.469673
616305600.000000	22.848087
616309184.000000	22.636889
616312832.000000	22.216913
616316416.000000	21.724548
616320000.000000	21.246626
616323584.000000	21.183083
616327168.000000	21.191549
616330816.000000	21.246881
616334400.000000	21.624432
616337984.000000	22.101091
616341632.000000	22.410555
616345216.000000	22.682602
616348800.000000	22.531275
616352384.000000	22.212137
616355968.000000	22.291817
616359616.000000	22.345629
616363200.000000	21.783916
616366784.000000	21.338732
616370432.000000	21.293261
616374016.000000	21.234808
616377600.000000	21.494217
616381184.000000	22.306343
616384768.000000	22.437674
616388416.000000	22.609118
616392000.000000	22.922546
616395584.000000	22.875456
616399232.000000	23.004898
616402816.000000	22.871923
616406400.000000	21.731455
616409984.000000	20.913986
616413568.000000	20.675671
616417216.000000	20.925453
616420800.000000	21.391857
616424384.000000	21.993748
616428032.000000	22.030659
616431616.000000	21.854637
616435200.000000	22.195961
616438784.000000	22.520189
616442368.000000	22.631701
616446016.000000	22.753799
616449600.000000	22.481461
616453184.000000	21.504866
616456832.000000	20.851364
616460416.000000	20.674599
616464000.000000	20.821068
616467584.000000	21.752609
616471168.000000	22.595251
616474816.000000	22.910564
616478400.000000	23.052881
616481984.000000	22.903358
616485632.000000	22.517437
616489216.000000	22.458073
616492800.000000	22.362093
616496384.000000	22.184088
616499968.000000	21.532032
616503616.000000	21.295753
616507200.000000	21.271320
616510784.000000	21.350588
616514432.000000	21.668655
616518016.000000	21.884167
616521600.000000	22.203009
616525184.000000	22.588633
616528768.000000	22.148783
616532416.000000	22.323807
616536000.000000	22.581226
616539584.000000	22.324371
616543232.000000	21.755135
616546816.000000	21.157976
616550400.000000	21.453308
616553984.000000	21.718679
616557568.000000	21.683325
616561216.000000	21.713717
616564800.000000	22.357065
616568384.000000	22.569277
616572032.000000	22.697760
616575616.000000	22.825426
616579200.000000	22.904186
616582784.000000	22.772635
616586368.000000	21.384666
616590016.000000	21.416710
616593600.000000	21.465300
616597184.000000	21.464865
616600832.000000	21.516771
616604416.000000	21.870518
616608000.000000	22.031862
616611584.000000	22.257767
616615168.000000	22.205408
616618816.000000	22.074493
616622400.000000	22.113968
616625984.000000	22.097183
616629632.000000	22.004784
616633216.000000	21.874243
616636800.000000	21.740623
616640384.000000	21.635923
616643968.000000	21.742113
616647616.000000	22.130817
616651200.000000	22.450949
616654784.000000	22.663584
616658432.000000	22.434368
616662016.000000	22.385815
616665600.000000	22.694546
616669184.000000	22.878351
616672768.000000	22.729624
616676416.000000	21.883022
616680000.000000	21.180725
616683584.000000	21.257751
616687232.000000	21.607582
616690816.000000	22.057991
616694400.000000	22.104528
616697984.000000	22.083363
616701568.000000	22.019865
616705216.000000	21.697193
616708800.000000	21.854164
616712384.000000	22.261040
616716032.000000	22.101494
616719616.000000	21.526812
616723200.000000	21.009640
616726784.000000	21.028275
616730368.000000	21.257301
616734016.000000	21.860298
616737600.000000	22.262999
616741184.000000	22.010954
616744832.000000	21.963743
616748416.000000	22.046171
616752000.000000	22.180986
616755584.000000	22.316778
616759168.000000	22.363985
616762816.000000	22.101072
616766400.000000	20.910145
616769984.000000	20.498615
616773632.000000	20.480717
616777216.000000	20.895859
616780800.000000	21.752234
616784384.000000	21.832869
616787968.000000	21.775282
616791616.000000	21.400547
616795200.000000	21.377274
616798784.000000	21.697403
616802432.000000	21.905806
616806016.000000	21.963261
616809600.000000	21.628134
616813184.000000	20.908142
616816768.000000	20.821537
616820416.000000	21.191250
616824000.000000	21.327784
616827584.000000	21.390957
616831232.000000	21.519411
616834816.000000	21.817612
616838400.000000	22.217880
616841984.000000	22.547565
616845568.000000	22.869896
616849216.000000	23.157717
616852800.000000	23.211130
616856384.000000	22.105682
616860032.000000	22.242741
616863616.000000	22.127840
616867200.000000	22.199268
616870784.000000	22.923149
616874368.000000	23.242556
616878016.000000	23.479004
616881600.000000	23.017889
616885184.000000	22.038725
616888832.000000	21.451578
616892416.000000	21.656960
616896000.000000	21.573370
616899584.000000	21.177618
616903168.000000	21.141293
616906816.000000	21.317768
616910400.000000	22.178726
616913984.000000	22.708916
616917632.000000	22.841959
616921216.000000	22.977880
616924800.000000	23.226662
616928384.000000	23.225988
616931968.000000	22.868202
616935616.000000	22.531006
616939200.000000	22.260973
616942784.000000	22.313978
616946432.000000	22.562128
616950016.000000	22.902775
616953600.000000	23.248125
616957184.000000	23.329617
616960768.000000	22.902834
616964416.000000	22.627289
616968000.000000	22.775133
