Title=free-surface from YAEYAMA2 Test Case					
					
"Legend=(eta_rho, xi_rho) = (23.9666, 123.603)"					
ocean_time (seconds since 2000-01-01 00:00:00)	zeta (meter)				
593143168	0.233096
593146816	0.347893
593150400	0.45792	
593153984	0.547143
593157632	0.597519
593161216	0.60195	
593164800	0.573701
593168384	0.524399
593171968	0.470885
593175616	0.432486
593179200	0.421525
593182784	0.444572
593186432	0.494035
593190016	0.559731
593193600	0.618215
593197184	0.65034	
593200768	0.644676
593204416	0.588859
593208000	0.482171
593211584	0.346183
593215232	0.215734
593218816	0.108578
593222400	0.047533
593225984	0.046849
593229568	0.113059
593233216	0.233782
593236800	0.380438
593240384	0.525475
593244032	0.637012
593247616	0.686765
593251200	0.671623
593254784	0.597271
593258368	0.488454
593262016	0.375752
593265600	0.289383
593269184	0.255096
593272832	0.278594
593276416	0.360443
593280000	0.471488
593283584	0.584216
593287168	0.665085
593290816	0.683281
593294400	0.62321	
593297984	0.491842
593301632	0.318752
593305216	0.14272	
593308800	0.007746
593312384	-0.05376
593315968	-0.02518
593319616	0.091534
593323200	0.271536
593326784	0.47805	
593330432	0.66241	
593334016	0.781879
593337600	0.809531
593341184	0.746453
593344768	0.601828
593348416	0.42388	
593352000	0.258935
593355584	0.148362
593359232	0.124384
593362816	0.191806
593366400	0.335488
593369984	0.511877
593373568	0.673005
593377216	0.780396
593380800	0.789775
593384384	0.691234
593388032	0.510766
593391616	0.286714
593395200	0.078735
593398784	-0.06094
593402368	-0.09925
593406016	-0.01989
593409600	0.163085
593413184	0.405715
593416832	0.651622
593420416	0.840034
593424000	0.931081
593427584	0.893661
593431168	0.746835
593434816	0.526094
593438400	0.285086
593441984	0.095222
593445632	-0.00095
593449216	0.025129
593452800	0.168487
593456384	0.389382
593459968	0.624428
593463616	0.817135
593467200	0.912971
593470784	0.878467
593474432	0.717855
593478016	0.475781
593481600	0.209574
593485184	-0.01303
593488768	-0.13122
593492416	-0.10717
593496000	0.050472
593499584	0.311367
593503232	0.615499
593506816	0.879331
593510400	1.045732
593513984	1.071041
593517568	0.942441
593521216	0.704263
593524800	0.408956
593528384	0.139221
593532032	-0.03372
593535616	-0.07728
593539200	0.032238
593542784	0.268539
593546368	0.557166
593550016	0.830647
593553600	1.01569	
593557184	1.067484
593560832	0.965116
593564416	0.727434
593568000	0.418092
593571584	0.11792	
593575168	-0.09369
593578816	-0.16695
593582400	-0.07133
593585984	0.163809
593589632	0.484073
593593216	0.797602
593596800	1.036247
593600384	1.137181
593603968	1.063233
593607616	0.837224
593611200	0.510197
593614784	0.162755
593618432	-0.10708
593622016	-0.24128
593625600	-0.20050
593629184	0.008063
593632768	0.319108
593636416	0.665931
593640000	0.951618
593643584	1.109998
593647232	1.100232
593650816	0.921329
593654400	0.616843
593657984	0.275016
593661568	-0.01649
593665216	-0.18363
593668800	-0.17392
593672384	0.011293
593676032	0.321064
593679616	0.668345
593683200	0.963446
593686784	1.147463
593690368	1.15761	
593694016	0.985502
593697600	0.660783
593701184	0.267166
593704832	-0.09015
593708416	-0.33229
593712000	-0.39678
593715584	-0.26656
593719168	0.024794
593722816	0.405742
593726400	0.768647
593729984	1.033356
593733632	1.141227
593737216	1.05838	
593740800	0.815181
593744384	0.475291
593747968	0.126244
593751616	-0.13419
593755200	-0.22916
593758784	-0.13627
593762432	0.12333	
593766016	0.476681
593769600	0.828617
593773184	1.093262
593776768	1.192421
593780416	1.094389
593784000	0.819568
593787584	0.423534
593791232	-0.00171
593794816	-0.34922
593798400	-0.53346
593801984	-0.50639
593805568	-0.27900
593809216	0.085487
593812800	0.492076
593816384	0.848701
593820032	1.074436
593823616	1.118938
593827200	0.979412
593830784	0.698291
593834368	0.353344
593838016	0.048977
593841600	-0.13977
593845184	-0.14303
593848832	0.031426
593852416	0.348886
593856000	0.713609
593859584	1.029643
